#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),0.024000,Auto
#Start Frequency,+1.000000000e+06
#Stop Frequency,+6.000000000e+07
#Average Type,Log Pwr
#RBW,300000.000000,Auto
#VBW,300000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Auto
#Sweep Rule,Speed
#PreAmp State,ON
#Ref Level,-1.000000000e+01
#Attenuation,30,Auto
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#M2,B,Frequency,12.092000 MHz,-66.19 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace B,Trace C,Trace D
#Trace Type,View,View,View
#Trace Detector,Sample,Sample,Pos Peak
#Trace Data
1.000000e+06,-7.297205e+01,-7.812524e+01,-7.902909e+01
1.078667e+06,-7.287781e+01,-7.816089e+01,-7.943308e+01
1.157333e+06,-7.291870e+01,-7.764140e+01,-8.020499e+01
1.236000e+06,-7.343836e+01,-7.716367e+01,-7.930682e+01
1.314667e+06,-7.343895e+01,-7.817899e+01,-8.004115e+01
1.393333e+06,-7.220603e+01,-7.779449e+01,-8.082512e+01
1.472000e+06,-7.322795e+01,-7.726357e+01,-8.040150e+01
1.550667e+06,-7.380390e+01,-7.851488e+01,-8.060983e+01
1.629333e+06,-7.389780e+01,-7.846039e+01,-8.000497e+01
1.708000e+06,-7.317498e+01,-7.801303e+01,-8.084239e+01
1.786667e+06,-7.344608e+01,-7.681078e+01,-8.060547e+01
1.865333e+06,-7.368176e+01,-7.692912e+01,-8.101931e+01
1.944000e+06,-7.347241e+01,-7.879822e+01,-8.072333e+01
2.022667e+06,-7.308968e+01,-7.726091e+01,-8.208557e+01
2.101333e+06,-7.347021e+01,-7.779864e+01,-8.081436e+01
2.180000e+06,-7.320388e+01,-7.688102e+01,-8.088122e+01
2.258667e+06,-7.325245e+01,-7.782226e+01,-8.191978e+01
2.337333e+06,-7.311149e+01,-7.792305e+01,-8.147509e+01
2.416000e+06,-7.305605e+01,-7.725051e+01,-8.110783e+01
2.494667e+06,-7.348672e+01,-7.741932e+01,-8.141464e+01
2.573333e+06,-7.307429e+01,-7.684979e+01,-8.139394e+01
