#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),2.295000,Auto
#Start Frequency,+0.000000000e+00
#Stop Frequency,+2.500000000e+08
#Average Type,Log Pwr
#RBW,30000.000000,Manual
#VBW,30000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Sweep
#Sweep Rule,Speed
#PreAmp State,ON
#Ref Level,-1.000000000e+01
#Attenuation,30,Auto
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#M1,A,Frequency,25.000000 MHz,-30.49 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,View
#Trace Detector,Sample,Sample,Sample,Sample
#Trace Data
0.000000e+00,-2.351601e+01,-5.913218e+01,-6.893239e+01,-6.934966e+01
3.333330e+05,-2.921962e+01,-6.660622e+01,-7.539418e+01,-7.503104e+01
6.666670e+05,-2.883354e+01,-6.609351e+01,-8.104671e+01,-8.572983e+01
1.000000e+06,-2.896806e+01,-6.850720e+01,-8.308862e+01,-8.937168e+01
1.333333e+06,-2.915859e+01,-6.559356e+01,-8.063843e+01,-8.784032e+01
1.666667e+06,-2.925693e+01,-6.676950e+01,-8.142162e+01,-9.264197e+01
2.000000e+06,-2.930063e+01,-6.478577e+01,-8.090740e+01,-9.102963e+01
2.333333e+06,-2.935527e+01,-6.633323e+01,-8.090981e+01,-9.138639e+01
2.666667e+06,-2.950293e+01,-6.421476e+01,-7.911672e+01,-9.130358e+01
3.000000e+06,-2.945722e+01,-6.722491e+01,-7.990456e+01,-9.066452e+01
3.333333e+06,-2.960791e+01,-6.766354e+01,-7.792351e+01,-9.108044e+01
3.666667e+06,-2.967998e+01,-6.505342e+01,-7.830496e+01,-9.199156e+01
4.000000e+06,-2.967998e+01,-6.663557e+01,-7.849306e+01,-9.032426e+01
4.333333e+06,-2.965092e+01,-6.721024e+01,-7.931694e+01,-9.074421e+01
4.666667e+06,-2.975205e+01,-6.665188e+01,-7.826416e+01,-9.213908e+01
5.000000e+06,-2.979492e+01,-6.544898e+01,-7.716717e+01,-9.139811e+01
5.333334e+06,-2.977324e+01,-6.664166e+01,-7.698152e+01,-9.098265e+01
5.666667e+06,-2.972211e+01,-6.740975e+01,-7.758236e+01,-9.075736e+01
6.000000e+06,-2.981528e+01,-6.576674e+01,-7.835054e+01,-9.137756e+01
6.333334e+06,-2.985874e+01,-6.497742e+01,-7.829806e+01,-9.193109e+01
6.666667e+06,-2.982084e+01,-6.711335e+01,-7.899198e+01,-9.236553e+01
7.000000e+06,-2.985703e+01,-6.705753e+01,-7.668123e+01,-9.132640e+01
7.333334e+06,-2.985131e+01,-6.685477e+01,-7.554472e+01,-9.181538e+01
7.666667e+06,-2.996816e+01,-6.532325e+01,-7.724505e+01,-9.017903e+01
8.000000e+06,-2.989946e+01,-6.419683e+01,-7.584690e+01,-9.228114e+01
8.333333e+06,-2.996049e+01,-6.793927e+01,-7.607358e+01,-9.226177e+01
8.666666e+06,-2.998310e+01,-6.492556e+01,-7.681449e+01,-9.158239e+01
9.000000e+06,-2.997177e+01,-6.959742e+01,-7.596763e+01,-9.302231e+01
9.333333e+06,-2.999516e+01,-6.761645e+01,-7.533440e+01,-9.304814e+01
9.666666e+06,-2.998569e+01,-6.676443e+01,-7.476308e+01,-9.107365e+01
1.000000e+07,-3.001005e+01,-6.749327e+01,-7.360257e+01,-9.175569e+01
1.033333e+07,-3.007646e+01,-6.469310e+01,-7.831446e+01,-9.242135e+01
1.066667e+07,-3.000795e+01,-6.694700e+01,-7.368380e+01,-9.044690e+01
1.100000e+07,-3.002187e+01,-6.675037e+01,-7.551808e+01,-9.078986e+01
1.133333e+07,-3.014965e+01,-6.615551e+01,-7.672005e+01,-9.093563e+01
1.166667e+07,-3.013027e+01,-6.925688e+01,-7.562332e+01,-9.180247e+01
1.200000e+07,-3.012236e+01,-6.742617e+01,-7.541238e+01,-9.255269e+01
1.233333e+07,-3.011337e+01,-6.627031e+01,-7.627321e+01,-9.033835e+01
1.266667e+07,-3.021435e+01,-6.825754e+01,-7.685656e+01,-9.051098e+01
1.300000e+07,-3.011406e+01,-6.797506e+01,-7.491693e+01,-8.978127e+01
1.333333e+07,-3.012060e+01,-6.719762e+01,-7.391456e+01,-9.123713e+01
1.366667e+07,-3.011347e+01,-6.975280e+01,-7.478691e+01,-9.105366e+01
1.400000e+07,-3.027343e+01,-6.700862e+01,-7.463328e+01,-9.003752e+01
1.433333e+07,-3.024599e+01,-6.660723e+01,-7.446759e+01,-8.975373e+01
1.466667e+07,-3.018071e+01,-6.695387e+01,-7.530255e+01,-9.000437e+01
1.500000e+07,-3.021689e+01,-6.528898e+01,-7.545279e+01,-9.136896e+01
1.533333e+07,-3.022128e+01,-6.917439e+01,-7.600939e+01,-9.171385e+01
1.566667e+07,-3.013759e+01,-6.581012e+01,-7.525494e+01,-9.083753e+01
1.600000e+07,-3.019350e+01,-6.660324e+01,-7.389747e+01,-9.097844e+01
