#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),0.024000,Auto
#Start Frequency,+0.000000000e+00
#Stop Frequency,+5.000000000e+07
#Average Type,Log Pwr
#RBW,300000.000000,Auto
#VBW,300000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Auto
#Sweep Rule,Speed
#PreAmp State,ON
#Ref Level,-1.000000000e+01
#Attenuation,30,Auto
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#M1,A,Frequency,5.000000 MHz,-53.48 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,View
#Trace Detector,Sample,Sample,Sample,Sample
#Trace Data
0.000000e+00,-1.873358e+01,-1.872044e+01,-1.873935e+01,-1.873010e+01
6.666700e+04,-1.982904e+01,-1.984471e+01,-1.983979e+01,-1.983154e+01
1.333330e+05,-2.164849e+01,-2.165864e+01,-2.166833e+01,-2.166042e+01
2.000000e+05,-2.459537e+01,-2.457906e+01,-2.461449e+01,-2.460856e+01
2.666670e+05,-2.870960e+01,-2.869250e+01,-2.869478e+01,-2.870824e+01
3.333330e+05,-3.392203e+01,-3.402653e+01,-3.396327e+01,-3.397470e+01
4.000000e+05,-4.035755e+01,-4.037882e+01,-4.042461e+01,-4.041139e+01
4.666670e+05,-4.777684e+01,-4.806788e+01,-4.795114e+01,-4.814133e+01
5.333330e+05,-5.124857e+01,-5.447337e+01,-5.596763e+01,-5.685037e+01
6.000000e+05,-5.192703e+01,-5.522111e+01,-5.821759e+01,-6.642321e+01
6.666670e+05,-5.427737e+01,-5.615214e+01,-5.999693e+01,-7.181735e+01
7.333330e+05,-5.313982e+01,-5.651180e+01,-5.956967e+01,-7.074342e+01
8.000000e+05,-5.298270e+01,-5.639547e+01,-5.960197e+01,-7.138049e+01
8.666670e+05,-5.262909e+01,-5.629163e+01,-5.946147e+01,-7.034224e+01
9.333330e+05,-5.274913e+01,-5.686334e+01,-5.982846e+01,-7.151058e+01
1.000000e+06,-5.325968e+01,-5.655769e+01,-6.053926e+01,-7.081480e+01
1.066667e+06,-5.343832e+01,-5.603758e+01,-5.916618e+01,-7.104579e+01
1.133333e+06,-5.336194e+01,-5.719841e+01,-5.992076e+01,-7.097546e+01
1.200000e+06,-5.354743e+01,-5.579016e+01,-5.945589e+01,-7.124102e+01
1.266667e+06,-5.242320e+01,-5.745193e+01,-5.946312e+01,-7.115124e+01
1.333333e+06,-5.315928e+01,-5.681972e+01,-5.977745e+01,-7.044765e+01
1.400000e+06,-5.290507e+01,-5.637948e+01,-6.072943e+01,-7.139189e+01
1.466667e+06,-5.291634e+01,-5.741622e+01,-6.067762e+01,-7.132580e+01
1.533333e+06,-5.351637e+01,-5.736197e+01,-5.984020e+01,-7.027687e+01
1.600000e+06,-5.308680e+01,-5.728467e+01,-6.093620e+01,-7.154692e+01
1.666667e+06,-5.299865e+01,-5.628433e+01,-6.090793e+01,-7.070713e+01
1.733333e+06,-5.252115e+01,-5.707002e+01,-6.055627e+01,-7.027550e+01
1.800000e+06,-5.253175e+01,-5.756335e+01,-6.087698e+01,-7.069250e+01
1.866667e+06,-5.337482e+01,-5.721490e+01,-5.956010e+01,-7.106711e+01
1.933333e+06,-5.292274e+01,-5.745560e+01,-5.992416e+01,-6.961904e+01
2.000000e+06,-5.309354e+01,-5.659127e+01,-6.023859e+01,-7.088057e+01
2.066667e+06,-5.271423e+01,-5.676896e+01,-6.064390e+01,-7.033815e+01
2.133333e+06,-5.375701e+01,-5.597204e+01,-6.005682e+01,-7.026445e+01
2.200000e+06,-5.325516e+01,-5.725652e+01,-5.976950e+01,-6.964028e+01
2.266667e+06,-5.394726e+01,-5.680189e+01,-6.078903e+01,-7.052001e+01
2.333333e+06,-5.234943e+01,-5.690141e+01,-6.082691e+01,-7.006909e+01
2.400000e+06,-5.249415e+01,-5.690207e+01,-6.033169e+01,-7.009257e+01
2.466667e+06,-5.355733e+01,-5.744676e+01,-6.069249e+01,-7.081781e+01
2.533333e+06,-5.399991e+01,-5.721044e+01,-6.001616e+01,-7.021770e+01
2.600000e+06,-5.354289e+01,-5.760533e+01,-6.032529e+01,-6.918126e+01
2.666667e+06,-5.354942e+01,-5.787355e+01,-6.024338e+01,-6.902790e+01
2.733333e+06,-5.360823e+01,-5.684744e+01,-6.031135e+01,-6.950305e+01
2.800000e+06,-5.409192e+01,-5.750500e+01,-6.061504e+01,-7.040198e+01
2.866667e+06,-5.379815e+01,-5.706581e+01,-6.023016e+01,-7.046107e+01
2.933333e+06,-5.263312e+01,-5.665755e+01,-5.962927e+01,-6.919191e+01
