#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#PreAmp State,ON
#Ref Level,-10.00 dBm
#Ref Offset,0.00 dB
#Attenuation,30,Auto
#X Axis Scale,LINE
#Impedance,50
#Number of Points,751
#Sweep Time(s),0.945000,Auto
#Sweep Times Type,Continuous
#Sweep Mode,Sweep
#Sweep Rule,Speed
#Start Frequency,1000000
#Stop Frequency,100000000
#Offset Frequency,0
#Average Type,Log Pwr
#RBW,30000.000000,Manual
#VBW,30000.000000,Auto
#RBW Filter,Gaussian
#Trigger Source,FreeRun
#Trigger Level,0.00 dBm
#External Trigger Edge,RISE
#Video Trigger Edge,RISE
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#Marker1,C,Frequency,25.024000 MHz,-37.30 dBm
#Marker2,C,Frequency,43.768000 MHz,-40.56 dBm
#Peak Table Information
#Peak Threshold,-90.00 dBm
#Peak Excursion,15.00 dB
#Peak,Trace,X Axis,Amplitude
#0,1,1.132000 MHz,-86.17 dBm
#Trace Math Type,Off
#Trace Math Offset, 0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,Blank
#Trace Detector,Sample,Sample,Sample,Pos Peak
#Trace Data
1000000.000000,-89.04,-80.99,-35.28,
1132000.000000,-86.17,-79.41,-35.34,
1264000.000000,-90.48,-79.43,-35.22,
1396000.000000,-89.84,-80.43,-35.25,
1528000.000000,-90.50,-81.07,-35.34,
1660000.000000,-90.41,-79.02,-35.27,
1792000.000000,-91.08,-80.31,-35.23,
1924000.000000,-90.34,-79.99,-35.50,
2056000.000000,-90.61,-80.94,-35.46,
2188000.000000,-90.17,-81.00,-35.54,
2320000.000000,-91.98,-80.15,-35.46,
2452000.000000,-91.15,-79.91,-35.58,
2584000.000000,-92.28,-80.50,-35.52,
2716000.000000,-91.52,-79.46,-35.58,
2848000.000000,-90.49,-80.25,-35.57,
2980000.000000,-91.73,-79.03,-35.48,
3112000.000000,-90.11,-77.93,-35.60,
3244000.000000,-94.26,-79.14,-35.83,
3376000.000000,-91.86,-79.29,-35.63,
3508000.000000,-90.35,-78.07,-35.67,
3640000.000000,-88.86,-78.84,-35.75,
3772000.000000,-91.15,-77.47,-35.67,
3904000.000000,-91.27,-79.04,-35.64,
4036000.000000,-92.78,-80.18,-35.70,
4168000.000000,-90.60,-78.59,-35.67,
4300000.000000,-90.62,-78.29,-35.51,
4432000.000000,-92.70,-78.71,-35.80,
4564000.000000,-91.18,-78.55,-35.90,
4696000.000000,-89.98,-78.85,-35.90,
4828000.000000,-91.46,-78.60,-35.75,
4960000.000000,-91.54,-79.44,-35.78,
5092000.000000,-90.07,-78.30,-35.91,
5224000.000000,-90.24,-77.72,-35.85,
5356000.000000,-90.40,-78.93,-35.65,
5488000.000000,-90.36,-78.13,-35.68,
5620000.000000,-91.30,-77.23,-35.85,
5752000.000000,-93.64,-78.69,-35.98,
5884000.000000,-92.13,-78.90,-35.86,
6016000.000000,-91.01,-77.30,-35.78,
6148000.000000,-90.86,-78.22,-35.91,
6280000.000000,-91.13,-78.92,-35.90,
6412000.000000,-91.01,-77.59,-35.90,
6544000.000000,-89.81,-78.22,-35.83,
6676000.000000,-91.06,-77.37,-35.80,
6808000.000000,-90.91,-75.27,-35.92,
6940000.000000,-92.45,-77.09,-35.99,
7072000.000000,-91.59,-77.61,-35.91,
7204000.000000,-92.32,-76.08,-35.91,
7336000.000000,-91.20,-77.20,-36.00,
7468000.000000,-92.85,-76.67,-35.99,
7600000.000000,-92.36,-76.57,-36.00,
7732000.000000,-91.05,-76.56,-36.09,
7864000.000000,-90.04,-76.59,-36.00,
7996000.000000,-91.59,-76.28,-35.95,
8128000.000000,-90.94,-77.89,-36.15,
8260000.000000,-91.13,-78.14,-36.00,
8392000.000000,-91.46,-76.39,-36.06,
8524000.000000,-92.47,-76.39,-36.09,
8656000.000000,-91.80,-76.73,-36.05,
8788000.000000,-92.43,-77.12,-36.25,
8920000.000000,-92.31,-76.63,-35.94,
9052000.000000,-90.02,-76.16,-36.21,
9184000.000000,-90.71,-77.05,-36.09,
9316000.000000,-88.86,-76.09,-36.07,
9448000.000000,-91.50,-76.66,-36.19,
9580000.000000,-91.34,-75.42,-36.16,
9712000.000000,-92.41,-76.40,-36.17,
9844000.000000,-91.49,-75.74,-36.08,
9976000.000000,-91.56,-76.62,-36.29,
10108000.000000,-90.63,-75.94,-35.96,
10240000.000000,-91.11,-74.99,-36.33,
10372000.000000,-92.52,-75.65,-36.04,
10504000.000000,-90.89,-76.97,-36.20,
10636000.000000,-91.52,-76.23,-36.18,
10768000.000000,-91.81,-74.94,-36.27,
10900000.000000,-92.37,-76.63,-36.37,
11032000.000000,-91.34,-75.27,-36.31,
11164000.000000,-93.05,-74.24,-36.19,
11296000.000000,-91.58,-75.72,-36.19,
11428000.000000,-91.54,-76.91,-36.27,
11560000.000000,-90.84,-76.60,-36.21,
11692000.000000,-93.41,-75.00,-36.20,
11824000.000000,-91.50,-76.64,-36.43,
11956000.000000,-93.26,-76.29,-36.27,
12088000.000000,-91.68,-77.82,-36.36,
12220000.000000,-90.50,-74.84,-36.34,
12352000.000000,-92.71,-75.31,-36.29,
12484000.000000,-91.75,-74.70,-36.32,
12616000.000000,-90.55,-75.03,-36.31,
12748000.000000,-91.75,-75.68,-36.46,
12880000.000000,-90.14,-75.69,-36.16,
13012000.000000,-91.12,-75.61,-36.16,
13144000.000000,-92.04,-74.04,-36.40,
13276000.000000,-92.49,-75.87,-36.39,
13408000.000000,-91.36,-74.47,-36.44,
13540000.000000,-91.48,-75.85,-36.41,
13672000.000000,-90.90,-74.60,-36.36,
13804000.000000,-90.86,-75.11,-36.22,
13936000.000000,-90.45,-76.27,-36.41,
14068000.000000,-90.90,-73.89,-36.35,
14200000.000000,-92.15,-74.55,-36.35,
14332000.000000,-91.27,-75.38,-36.29,
14464000.000000,-91.92,-74.41,-36.59,
14596000.000000,-91.77,-74.29,-36.57,
14728000.000000,-91.70,-74.38,-36.58,
14860000.000000,-91.70,-75.34,-36.47,
14992000.000000,-90.49,-75.21,-36.51,
15124000.000000,-91.18,-75.71,-36.54,
15256000.000000,-90.83,-75.10,-36.41,
15388000.000000,-91.55,-74.34,-36.67,
15520000.000000,-91.62,-74.27,-36.28,
15652000.000000,-92.47,-75.38,-36.61,
15784000.000000,-91.19,-73.81,-36.41,
15916000.000000,-91.73,-74.74,-36.66,
16048000.000000,-91.57,-75.03,-36.70,
16180000.000000,-92.78,-75.03,-36.59,
16312000.000000,-91.40,-74.44,-36.70,
16444000.000000,-90.15,-75.78,-36.48,
16576000.000000,-91.48,-73.82,-36.71,
16708000.000000,-90.48,-76.19,-36.49,
