#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#PreAmp State,ON
#Ref Level,-30.00 dBm
#Ref Offset,0.00 dB
#Attenuation,10,Auto
#X Axis Scale,LINE
#Impedance,50
#Number of Points,751
#Sweep Time(s),4.455000,Auto
#Sweep Times Type,Continuous
#Sweep Mode,Sweep
#Sweep Rule,Speed
#Start Frequency,10000000
#Stop Frequency,500000000
#Offset Frequency,0
#Average Type,Log Pwr
#RBW,30000.000000,Manual
#VBW,30000.000000,Auto
#RBW Filter,Gaussian
#Trigger Source,FreeRun
#Trigger Level,0.00 dBm
#External Trigger Edge,RISE
#Video Trigger Edge,RISE
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#Marker1,C,Frequency,100.813333 MHz,-54.86 dBm
#Marker2,C,Frequency,193.586667 MHz,-49.32 dBm
#Peak Table Information
#Peak Threshold,-90.00 dBm
#Peak Excursion,15.00 dB
#Peak,Trace,X Axis,Amplitude
#Trace Math Type,Off
#Trace Math Offset, 0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,Blank
#Trace Detector,Sample,Sample,Sample,Pos Peak
#Trace Data
10000000.000000,-110.90,-104.78,-56.53,
10653333.000000,-109.70,-106.40,-56.66,
11306667.000000,-110.92,-105.53,-56.79,
11960000.000000,-111.88,-109.28,-56.89,
12613333.000000,-112.16,-109.23,-56.94,
13266667.000000,-111.12,-106.27,-57.04,
13920000.000000,-112.34,-109.08,-57.10,
14573333.000000,-112.47,-106.12,-57.17,
15226667.000000,-113.83,-105.66,-57.21,
15880000.000000,-110.64,-106.44,-57.27,
16533333.000000,-112.11,-107.55,-57.29,
17186667.000000,-113.63,-107.52,-57.31,
17840000.000000,-110.12,-103.77,-57.29,
18493333.000000,-112.68,-104.15,-57.22,
19146667.000000,-112.75,-104.66,-57.10,
19800000.000000,-111.05,-105.18,-56.95,
20453333.000000,-111.39,-104.61,-56.75,
21106667.000000,-112.30,-105.44,-56.53,
21760000.000000,-109.40,-104.82,-56.33,
22413333.000000,-114.41,-106.16,-56.14,
23066667.000000,-110.41,-107.36,-56.02,
23720000.000000,-111.90,-102.24,-55.89,
24373333.000000,-111.22,-104.54,-55.85,
25026667.000000,-112.21,-103.44,-55.80,
25680000.000000,-109.65,-106.13,-55.80,
26333333.000000,-110.00,-105.14,-55.81,
26986667.000000,-112.89,-103.60,-55.91,
27640000.000000,-112.05,-105.96,-56.03,
28293333.000000,-111.95,-101.77,-56.24,
28946667.000000,-113.02,-106.20,-56.41,
29600000.000000,-112.51,-105.72,-56.65,
30253333.000000,-110.04,-103.65,-56.73,
30906667.000000,-110.86,-106.38,-56.72,
31560000.000000,-111.36,-103.52,-56.79,
32213333.000000,-112.80,-104.12,-56.70,
32866667.000000,-110.59,-101.55,-56.68,
33520000.000000,-109.55,-102.80,-56.68,
34173333.000000,-111.40,-106.64,-56.68,
34826667.000000,-112.17,-104.22,-56.59,
35480000.000000,-111.15,-101.33,-56.54,
36133333.000000,-110.89,-104.02,-56.54,
36786667.000000,-115.93,-103.89,-56.49,
37440000.000000,-112.03,-101.97,-56.46,
38093333.000000,-111.23,-101.23,-56.41,
38746667.000000,-113.15,-106.06,-56.34,
39400000.000000,-112.53,-101.81,-56.26,
40053333.000000,-111.07,-105.62,-56.19,
40706667.000000,-112.54,-102.69,-56.16,
41360000.000000,-112.23,-104.95,-56.11,
42013333.000000,-110.72,-102.63,-56.13,
42666667.000000,-109.48,-102.71,-56.12,
43320000.000000,-111.27,-101.71,-56.09,
