#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),0.945000,Auto
#Start Frequency,+0.000000000e+00
#Stop Frequency,+1.000000000e+08
#Average Type,Log Pwr
#RBW,30000.000000,Manual
#VBW,30000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Auto
#Sweep Rule,Speed
#PreAmp State,OFF
#Ref Level,+2.000000000e+01
#Attenuation,40,Auto
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#M1,A,Frequency,14.933333 MHz,1.00 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,Average
#Trace Detector,Sample,Sample,Sample,Sample
#Trace Data
0.000000e+00,5.460552e+00,-2.345767e+01,-3.594439e+01,-3.460051e+01
1.333330e+05,2.115825e+00,-2.806910e+01,-4.082268e+01,-4.030629e+01
2.666670e+05,3.893169e+00,-2.689654e+01,-4.720594e+01,-4.765415e+01
4.000000e+05,4.244731e+00,-2.819323e+01,-5.317286e+01,-5.281335e+01
5.333330e+05,4.317973e+00,-2.778631e+01,-5.554602e+01,-5.626230e+01
6.666670e+05,4.352153e+00,-2.851556e+01,-5.680007e+01,-5.797070e+01
8.000000e+05,4.317973e+00,-2.840213e+01,-5.780665e+01,-5.973765e+01
9.333330e+05,4.308208e+00,-2.700949e+01,-5.945061e+01,-6.063790e+01
1.066667e+06,4.303325e+00,-2.790244e+01,-5.871330e+01,-6.063943e+01
1.200000e+06,4.230083e+00,-2.813684e+01,-5.821859e+01,-6.078017e+01
1.333333e+06,4.195903e+00,-2.836203e+01,-5.958220e+01,-6.111872e+01
1.466667e+06,4.200786e+00,-2.870305e+01,-5.885490e+01,-6.074637e+01
1.600000e+06,4.176372e+00,-2.763787e+01,-6.018803e+01,-6.172005e+01
1.733333e+06,4.249614e+00,-2.763752e+01,-6.124486e+01,-6.174584e+01
1.866667e+06,4.137309e+00,-2.826854e+01,-5.966545e+01,-6.108853e+01
2.000000e+06,4.137309e+00,-2.660644e+01,-5.971940e+01,-6.159881e+01
2.133333e+06,4.132427e+00,-2.745424e+01,-5.942786e+01,-6.092580e+01
2.266667e+06,4.073833e+00,-2.896156e+01,-6.071764e+01,-6.095236e+01
2.400000e+06,4.025005e+00,-2.830119e+01,-5.955922e+01,-6.142273e+01
2.533333e+06,3.985942e+00,-2.760666e+01,-5.929019e+01,-6.139026e+01
2.666667e+06,3.981059e+00,-2.977782e+01,-5.906046e+01,-6.107461e+01
2.800000e+06,3.971294e+00,-2.852469e+01,-5.940321e+01,-6.175844e+01
2.933333e+06,3.937114e+00,-2.695760e+01,-6.010538e+01,-6.198567e+01
3.066667e+06,3.927348e+00,-2.896163e+01,-5.833268e+01,-6.139655e+01
3.200000e+06,3.902934e+00,-2.663497e+01,-5.824634e+01,-6.149015e+01
