#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),1.620000,Auto
#Start Frequency,+0.000000000e+00
#Stop Frequency,+2.000000000e+07
#Offset Frequency,+0.000000000e+00
#Average Type,Log Pwr
#RBW,10000.000000,Manual
#VBW,10000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Sweep
#Sweep Rule,Speed
#PreAmp State,OFF
#Ref Level,+0.000000000e+00
#Attenuation,20,Manual
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#External Trigger Edge,FALL
#Video Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#Marker1,A,Frequency,1.440000 MHz,-89.15 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,View
#Trace Detector,Sample,Sample,Sample,Sample
#Trace Data
0.000000e+00,-2.803168e+01,-2.803395e+01,-2.805846e+01,-2.146956e+01
2.666700e+04,-2.769438e+01,-2.770464e+01,-2.770786e+01,-2.750472e+01
5.333300e+04,-6.360829e+01,-6.528554e+01,-6.060335e+01,-1.015120e+01
8.000000e+04,-6.597517e+01,-6.630529e+01,-5.983627e+01,-8.364092e+00
1.066670e+05,-6.922547e+01,-6.695616e+01,-6.103214e+01,-8.071123e+00
1.333330e+05,-6.788161e+01,-6.940626e+01,-6.093060e+01,-8.061358e+00
1.600000e+05,-6.933907e+01,-7.054243e+01,-6.044655e+01,-8.100420e+00
1.866670e+05,-7.226817e+01,-7.061413e+01,-6.183418e+01,-8.183428e+00
2.133330e+05,-7.183738e+01,-7.071362e+01,-6.209454e+01,-8.212725e+00
2.400000e+05,-7.366666e+01,-7.382340e+01,-6.240471e+01,-8.251787e+00
2.666670e+05,-7.531948e+01,-7.437020e+01,-6.116234e+01,-8.261553e+00
2.933330e+05,-7.570760e+01,-7.555363e+01,-6.295479e+01,-8.300616e+00
3.200000e+05,-7.598274e+01,-7.660158e+01,-6.242877e+01,-8.378741e+00
3.466670e+05,-7.754236e+01,-7.752244e+01,-6.113986e+01,-8.359209e+00
3.733330e+05,-7.850132e+01,-7.742250e+01,-6.316457e+01,-8.388506e+00
4.000000e+05,-7.967811e+01,-7.939103e+01,-6.322247e+01,-8.417803e+00
4.266670e+05,-7.985421e+01,-7.839242e+01,-6.377707e+01,-8.417803e+00
4.533330e+05,-8.055507e+01,-7.964815e+01,-6.341115e+01,-8.456866e+00
4.800000e+05,-7.979852e+01,-7.881014e+01,-6.338039e+01,-8.447100e+00
5.066670e+05,-8.224038e+01,-8.054371e+01,-6.296849e+01,-8.481280e+00
5.333330e+05,-8.280580e+01,-7.968018e+01,-6.274737e+01,-8.495928e+00
5.600000e+05,-8.260290e+01,-7.978043e+01,-6.208933e+01,-8.544756e+00
5.866670e+05,-8.300607e+01,-8.148916e+01,-6.266511e+01,-8.603350e+00
6.133330e+05,-8.187530e+01,-8.043864e+01,-6.243613e+01,-8.608233e+00
6.400000e+05,-8.358529e+01,-8.123485e+01,-6.310912e+01,-8.613116e+00
6.666670e+05,-8.269076e+01,-8.158333e+01,-6.383372e+01,-8.652178e+00
6.933330e+05,-8.396597e+01,-8.141651e+01,-6.223480e+01,-8.666827e+00
7.200000e+05,-8.468248e+01,-7.892866e+01,-6.295821e+01,-8.691241e+00
7.466670e+05,-8.541564e+01,-8.231563e+01,-6.377943e+01,-8.720537e+00
