#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),8.100000,Auto
#Start Frequency,+0.000000000e+00
#Stop Frequency,+1.000000000e+08
#Offset Frequency,+0.000000000e+00
#Average Type,Log Pwr
#RBW,10000.000000,Manual
#VBW,10000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Sweep
#Sweep Rule,Speed
#PreAmp State,ON
#Ref Level,-3.000000000e+01
#Attenuation,10,Auto
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#External Trigger Edge,FALL
#Video Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,View
#Trace Detector,Sample,Sample,Sample,Sample
#Trace Data
0.000000e+00,-5.811019e+01,-3.522444e+01,-8.965541e+01,-8.960320e+01
1.333330e+05,-6.203597e+01,-3.887679e+01,-9.429638e+01,-9.246459e+01
2.666670e+05,-5.976058e+01,-3.703597e+01,-1.042661e+02,-1.035194e+02
4.000000e+05,-5.967757e+01,-3.697249e+01,-1.071358e+02,-1.081301e+02
5.333330e+05,-5.965804e+01,-3.698226e+01,-1.072819e+02,-1.096054e+02
6.666670e+05,-5.971663e+01,-3.708968e+01,-1.097827e+02,-1.128665e+02
8.000000e+05,-5.977522e+01,-3.719222e+01,-1.102700e+02,-1.128617e+02
9.333330e+05,-5.986312e+01,-3.728499e+01,-1.103007e+02,-1.135848e+02
1.066667e+06,-5.993636e+01,-3.735823e+01,-1.081858e+02,-1.116734e+02
1.200000e+06,-5.998519e+01,-3.743147e+01,-1.101902e+02,-1.143859e+02
1.333333e+06,-6.000960e+01,-3.749007e+01,-1.097594e+02,-1.178135e+02
1.466667e+06,-6.004866e+01,-3.755355e+01,-1.129893e+02,-1.181487e+02
1.600000e+06,-6.011214e+01,-3.757796e+01,-1.135146e+02,-1.167723e+02
1.733333e+06,-6.005843e+01,-3.756331e+01,-1.102740e+02,-1.185070e+02
1.866667e+06,-6.011702e+01,-3.765120e+01,-1.097458e+02,-1.160866e+02
2.000000e+06,-6.011214e+01,-3.774886e+01,-1.106907e+02,-1.156101e+02
2.133333e+06,-6.026839e+01,-3.773909e+01,-1.103832e+02,-1.159639e+02
2.266667e+06,-6.014632e+01,-3.778792e+01,-1.116456e+02,-1.139540e+02
2.400000e+06,-6.024397e+01,-3.779769e+01,-1.093547e+02,-1.145430e+02
2.533333e+06,-6.024886e+01,-3.781722e+01,-1.094995e+02,-1.143501e+02
2.666667e+06,-6.029769e+01,-3.783675e+01,-1.105241e+02,-1.143673e+02
2.800000e+06,-6.029769e+01,-3.789046e+01,-1.099773e+02,-1.179521e+02
2.933333e+06,-6.033675e+01,-3.786605e+01,-1.114559e+02,-1.149129e+02
3.066667e+06,-6.031722e+01,-3.786605e+01,-1.091195e+02,-1.141593e+02
3.200000e+06,-6.021956e+01,-3.791487e+01,-1.086998e+02,-1.153693e+02
3.333333e+06,-6.034651e+01,-3.788069e+01,-1.094886e+02,-1.175329e+02
3.466667e+06,-6.038069e+01,-3.791976e+01,-1.079423e+02,-1.158994e+02
3.600000e+06,-6.032698e+01,-3.791487e+01,-1.089239e+02,-1.179158e+02
3.733333e+06,-6.028304e+01,-3.794417e+01,-1.084210e+02,-1.153518e+02
3.866667e+06,-6.032698e+01,-3.797347e+01,-1.085368e+02,-1.186497e+02
4.000000e+06,-6.036116e+01,-3.800276e+01,-1.090963e+02,-1.170926e+02
4.133333e+06,-6.031722e+01,-3.796370e+01,-1.099170e+02,-1.153274e+02
4.266667e+06,-6.038069e+01,-3.795394e+01,-1.102547e+02,-1.170954e+02
4.400000e+06,-6.037581e+01,-3.796370e+01,-1.090956e+02,-1.173057e+02
4.533333e+06,-6.034651e+01,-3.796370e+01,-1.080155e+02,-1.161754e+02
4.666667e+06,-6.036116e+01,-3.796858e+01,-1.073224e+02,-1.167049e+02
4.800000e+06,-6.033187e+01,-3.797835e+01,-1.096362e+02,-1.160437e+02
4.933333e+06,-6.044905e+01,-3.798323e+01,-1.073818e+02,-1.146397e+02
5.066667e+06,-6.036116e+01,-3.803694e+01,-1.081226e+02,-1.170827e+02
5.200000e+06,-6.031722e+01,-3.803694e+01,-1.090982e+02,-1.160490e+02
5.333333e+06,-6.040999e+01,-3.799300e+01,-1.085055e+02,-1.171206e+02
5.466667e+06,-6.037093e+01,-3.797347e+01,-1.081327e+02,-1.174397e+02
5.600000e+06,-6.026351e+01,-3.794905e+01,-1.075824e+02,-1.136846e+02
5.733333e+06,-6.030745e+01,-3.796858e+01,-1.090991e+02,-1.152318e+02
5.866667e+06,-6.027327e+01,-3.799300e+01,-1.072840e+02,-1.163371e+02
6.000000e+06,-6.040999e+01,-3.797835e+01,-1.083256e+02,-1.164842e+02
6.133333e+06,-6.033675e+01,-3.798323e+01,-1.074107e+02,-1.162065e+02
6.266667e+06,-6.036116e+01,-3.802230e+01,-1.087723e+02,-1.174831e+02
6.400000e+06,-6.036605e+01,-3.802230e+01,-1.080914e+02,-1.146040e+02
6.533333e+06,-6.031233e+01,-3.800276e+01,-1.070944e+02,-1.149525e+02
6.666667e+06,-6.030745e+01,-3.797347e+01,-1.077150e+02,-1.161915e+02
6.800000e+06,-6.023421e+01,-3.793440e+01,-1.062562e+02,-1.172852e+02
6.933333e+06,-6.025374e+01,-3.796858e+01,-1.065115e+02,-1.169268e+02
7.066667e+06,-6.026351e+01,-3.795882e+01,-1.056627e+02,-1.120012e+02
7.200000e+06,-6.027815e+01,-3.798323e+01,-1.065195e+02,-1.145777e+02
7.333333e+06,-6.029280e+01,-3.797835e+01,-1.071298e+02,-1.152578e+02
7.466667e+06,-6.032210e+01,-3.797835e+01,-1.072396e+02,-1.140479e+02
7.600000e+06,-6.027327e+01,-3.796858e+01,-1.068493e+02,-1.166802e+02
7.733333e+06,-6.028304e+01,-3.796370e+01,-1.062738e+02,-1.149982e+02
7.866667e+06,-6.022933e+01,-3.793929e+01,-1.067293e+02,-1.180636e+02
8.000000e+06,-6.026839e+01,-3.790022e+01,-1.080797e+02,-1.158538e+02
8.133333e+06,-6.014144e+01,-3.789534e+01,-1.071308e+02,-1.150275e+02
8.266667e+06,-6.020491e+01,-3.790022e+01,-1.049881e+02,-1.152502e+02
8.400000e+06,-6.023909e+01,-3.789046e+01,-1.064922e+02,-1.149390e+02
8.533333e+06,-6.020980e+01,-3.789046e+01,-1.062325e+02,-1.160916e+02
8.666667e+06,-6.015608e+01,-3.791487e+01,-1.065639e+02,-1.166501e+02
8.800000e+06,-6.019515e+01,-3.789534e+01,-1.054260e+02,-1.156174e+02
8.933333e+06,-6.010237e+01,-3.790511e+01,-1.070254e+02,-1.156290e+02
9.066667e+06,-6.014144e+01,-3.788069e+01,-1.047318e+02,-1.150345e+02
9.200000e+06,-6.011214e+01,-3.783187e+01,-1.055528e+02,-1.165077e+02
9.333333e+06,-6.015608e+01,-3.780257e+01,-1.047802e+02,-1.163875e+02
9.466667e+06,-6.025862e+01,-3.785628e+01,-1.036466e+02,-1.175559e+02
9.600000e+06,-6.018538e+01,-3.782210e+01,-1.062160e+02,-1.162661e+02
9.733333e+06,-6.012190e+01,-3.777327e+01,-1.053065e+02,-1.152092e+02
9.866667e+06,-6.015120e+01,-3.779280e+01,-1.065634e+02,-1.170065e+02
1.000000e+07,-6.014632e+01,-3.780745e+01,-1.038845e+02,-1.156559e+02
1.013333e+07,-6.009749e+01,-3.781233e+01,-1.041338e+02,-1.160646e+02
1.026667e+07,-6.011702e+01,-3.778304e+01,-1.042163e+02,-1.160781e+02
1.040000e+07,-6.004866e+01,-3.776351e+01,-1.054726e+02,-1.168597e+02
1.053333e+07,-6.002425e+01,-3.772444e+01,-1.046245e+02,-1.165473e+02
1.066667e+07,-6.005355e+01,-3.773421e+01,-1.044210e+02,-1.183553e+02
1.080000e+07,-5.993636e+01,-3.772444e+01,-1.044891e+02,-1.137458e+02
1.093333e+07,-5.999495e+01,-3.772444e+01,-1.049051e+02,-1.166967e+02
1.106667e+07,-6.004866e+01,-3.769515e+01,-1.033101e+02,-1.149086e+02
1.120000e+07,-6.005843e+01,-3.770003e+01,-1.042634e+02,-1.163140e+02
1.133333e+07,-5.998030e+01,-3.772933e+01,-1.024635e+02,-1.152971e+02
1.146667e+07,-5.994612e+01,-3.769026e+01,-1.033979e+02,-1.164872e+02
1.160000e+07,-5.999495e+01,-3.763655e+01,-1.026816e+02,-1.162736e+02
1.173333e+07,-6.003890e+01,-3.763655e+01,-1.048320e+02,-1.148920e+02
1.186667e+07,-6.001448e+01,-3.762190e+01,-1.032188e+02,-1.178051e+02
1.200000e+07,-5.999983e+01,-3.764144e+01,-1.034197e+02,-1.170790e+02
1.213333e+07,-5.990706e+01,-3.762190e+01,-1.031328e+02,-1.152262e+02
1.226667e+07,-5.992171e+01,-3.760726e+01,-1.032180e+02,-1.150878e+02
1.240000e+07,-5.985335e+01,-3.760726e+01,-1.021990e+02,-1.150417e+02
1.253333e+07,-5.991194e+01,-3.762190e+01,-1.042095e+02,-1.193038e+02
1.266667e+07,-5.984358e+01,-3.761702e+01,-1.023790e+02,-1.177672e+02
1.280000e+07,-5.987288e+01,-3.757308e+01,-1.031426e+02,-1.170865e+02
1.293333e+07,-5.991194e+01,-3.753890e+01,-1.027601e+02,-1.152178e+02
1.306667e+07,-5.977522e+01,-3.751448e+01,-1.043304e+02,-1.153571e+02
1.320000e+07,-5.979476e+01,-3.751937e+01,-1.023597e+02,-1.182900e+02
1.333333e+07,-5.982405e+01,-3.746565e+01,-1.025102e+02,-1.135587e+02
1.346667e+07,-5.974105e+01,-3.750960e+01,-1.030028e+02,-1.157264e+02
1.360000e+07,-5.980452e+01,-3.749983e+01,-1.025579e+02,-1.161962e+02
