#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),0.945000,Auto
#Start Frequency,+1.000000000e+06
#Stop Frequency,+1.000000000e+08
#Average Type,Log Pwr
#RBW,30000.000000,Manual
#VBW,30000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Sweep
#Sweep Rule,Speed
#PreAmp State,ON
#Ref Level,-1.000000000e+01
#Attenuation,30,Manual
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#M1,A,Frequency,25.024002 MHz,-77.41 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C
#Trace Type,View,View,View
#Trace Detector,Sample,Sample,Sample
#Trace Data
1.000000e+06,-8.426161e+01,-7.587635e+01,-2.735683e+01
1.132000e+06,-8.563413e+01,-7.570650e+01,-2.746914e+01
1.264000e+06,-8.300012e+01,-7.604053e+01,-2.750332e+01
1.396000e+06,-8.683374e+01,-7.747976e+01,-2.757656e+01
1.528000e+06,-8.627604e+01,-7.729776e+01,-2.762050e+01
1.660000e+06,-8.646983e+01,-7.791717e+01,-2.765468e+01
1.792000e+06,-8.594051e+01,-7.591687e+01,-2.765468e+01
1.924000e+06,-8.658837e+01,-7.582798e+01,-2.771328e+01
2.056000e+06,-8.544266e+01,-7.795388e+01,-2.774746e+01
2.188000e+06,-8.554845e+01,-7.662735e+01,-2.779628e+01
2.320000e+06,-8.514586e+01,-7.657371e+01,-2.786953e+01
2.452000e+06,-8.417028e+01,-7.605115e+01,-2.782558e+01
2.584000e+06,-8.435062e+01,-7.785945e+01,-2.789882e+01
2.716000e+06,-8.493591e+01,-7.491265e+01,-2.793789e+01
2.848000e+06,-8.701069e+01,-7.687044e+01,-2.793300e+01
2.980000e+06,-8.542909e+01,-7.784319e+01,-2.796230e+01
3.112000e+06,-8.421236e+01,-7.633990e+01,-2.797207e+01
3.244000e+06,-8.660844e+01,-7.677846e+01,-2.803066e+01
3.376000e+06,-8.518616e+01,-7.723678e+01,-2.802089e+01
3.508000e+06,-8.577578e+01,-7.654509e+01,-2.806484e+01
3.640000e+06,-8.538904e+01,-7.487892e+01,-2.807949e+01
3.772000e+06,-8.683747e+01,-7.623834e+01,-2.806484e+01
3.904000e+06,-8.476957e+01,-7.604694e+01,-2.813320e+01
4.036000e+06,-8.452357e+01,-7.719453e+01,-2.809902e+01
4.168000e+06,-8.488704e+01,-7.604656e+01,-2.808925e+01
4.300000e+06,-8.425209e+01,-7.663466e+01,-2.805996e+01
4.432000e+06,-8.340104e+01,-7.579047e+01,-2.812832e+01
4.564000e+06,-8.455972e+01,-7.595987e+01,-2.811367e+01
4.696000e+06,-8.532055e+01,-7.550007e+01,-2.819179e+01
4.828000e+06,-8.504466e+01,-7.645498e+01,-2.820156e+01
4.960000e+06,-8.295372e+01,-7.509153e+01,-2.822109e+01
5.092000e+06,-8.401854e+01,-7.582511e+01,-2.821621e+01
5.224000e+06,-8.379514e+01,-7.708977e+01,-2.825039e+01
5.356000e+06,-8.392998e+01,-7.560417e+01,-2.819179e+01
5.488000e+06,-8.286414e+01,-7.720771e+01,-2.816738e+01
5.620000e+06,-8.572897e+01,-7.677009e+01,-2.822109e+01
5.752000e+06,-8.360060e+01,-7.721096e+01,-2.820644e+01
5.884000e+06,-8.497495e+01,-7.718644e+01,-2.829921e+01
6.016000e+06,-8.182992e+01,-7.625635e+01,-2.826503e+01
6.148000e+06,-8.244982e+01,-7.684648e+01,-2.828945e+01
6.280000e+06,-8.268900e+01,-7.716718e+01,-2.835292e+01
6.412000e+06,-8.439362e+01,-7.760145e+01,-2.835292e+01
6.544000e+06,-8.415763e+01,-7.609322e+01,-2.834316e+01
6.676000e+06,-8.315938e+01,-7.621129e+01,-2.830898e+01
6.808000e+06,-8.468692e+01,-7.790143e+01,-2.828945e+01
6.940000e+06,-8.396799e+01,-7.673607e+01,-2.827480e+01
7.072000e+06,-8.314775e+01,-7.592329e+01,-2.827480e+01
7.204001e+06,-8.424582e+01,-7.660413e+01,-2.834316e+01
7.336000e+06,-8.298075e+01,-7.587465e+01,-2.834804e+01
7.468000e+06,-8.305421e+01,-7.621823e+01,-2.841640e+01
7.600000e+06,-8.276927e+01,-7.745274e+01,-2.840175e+01
7.732000e+06,-8.111467e+01,-7.665217e+01,-2.846035e+01
7.864001e+06,-8.227577e+01,-7.645447e+01,-2.840175e+01
7.996000e+06,-8.185442e+01,-7.524950e+01,-2.833339e+01
8.128000e+06,-8.482594e+01,-7.680463e+01,-2.841152e+01
8.260001e+06,-8.222340e+01,-7.616887e+01,-2.838710e+01
8.392000e+06,-8.164034e+01,-7.579786e+01,-2.845058e+01
8.524000e+06,-8.428755e+01,-7.588888e+01,-2.846035e+01
8.656000e+06,-8.359235e+01,-7.843594e+01,-2.842617e+01
8.788000e+06,-8.237475e+01,-7.801476e+01,-2.846035e+01
8.920000e+06,-8.185969e+01,-7.721589e+01,-2.844082e+01
9.052000e+06,-8.239460e+01,-7.602448e+01,-2.844570e+01
9.184000e+06,-8.258935e+01,-7.621327e+01,-2.844570e+01
9.316001e+06,-8.111262e+01,-7.712761e+01,-2.843593e+01
9.448000e+06,-8.391755e+01,-7.563348e+01,-2.835781e+01
9.580000e+06,-8.104585e+01,-7.549013e+01,-2.844082e+01
9.712000e+06,-8.358413e+01,-7.612860e+01,-2.847011e+01
9.844000e+06,-8.200546e+01,-7.580109e+01,-2.849941e+01
9.976000e+06,-8.199516e+01,-7.585491e+01,-2.848964e+01
1.010800e+07,-8.173720e+01,-7.762050e+01,-2.855312e+01
1.024000e+07,-8.190750e+01,-7.639396e+01,-2.855312e+01
1.037200e+07,-8.226793e+01,-7.628631e+01,-2.851894e+01
1.050400e+07,-7.983653e+01,-7.740519e+01,-2.845058e+01
1.063600e+07,-8.106045e+01,-7.619313e+01,-2.850917e+01
1.076800e+07,-8.073024e+01,-7.644503e+01,-2.849941e+01
1.090000e+07,-8.194668e+01,-7.673095e+01,-2.850917e+01
1.103200e+07,-8.101562e+01,-7.614619e+01,-2.852871e+01
1.116400e+07,-8.137617e+01,-7.607352e+01,-2.853359e+01
1.129600e+07,-8.085716e+01,-7.669103e+01,-2.859707e+01
1.142800e+07,-8.071887e+01,-7.571043e+01,-2.856777e+01
1.156000e+07,-8.134857e+01,-7.767774e+01,-2.850429e+01
1.169200e+07,-8.078753e+01,-7.676778e+01,-2.852382e+01
1.182400e+07,-8.047322e+01,-7.653384e+01,-2.856289e+01
1.195600e+07,-8.081248e+01,-7.633264e+01,-2.854824e+01
1.208800e+07,-8.112322e+01,-7.645189e+01,-2.851894e+01
1.222000e+07,-7.948076e+01,-7.476743e+01,-2.855800e+01
1.235200e+07,-8.082588e+01,-7.638933e+01,-2.858730e+01
1.248400e+07,-8.129225e+01,-7.646639e+01,-2.858730e+01
1.261600e+07,-8.057612e+01,-7.523749e+01,-2.857753e+01
1.274800e+07,-8.006290e+01,-7.749794e+01,-2.864101e+01
1.288000e+07,-7.921202e+01,-7.807090e+01,-2.858242e+01
1.301200e+07,-7.823091e+01,-7.580417e+01,-2.854335e+01
1.314400e+07,-7.994196e+01,-7.546923e+01,-2.854824e+01
1.327600e+07,-8.067559e+01,-7.611957e+01,-2.857753e+01
1.340800e+07,-8.079574e+01,-7.532956e+01,-2.854824e+01
1.354000e+07,-7.914984e+01,-7.555539e+01,-2.858730e+01
1.367200e+07,-8.194336e+01,-7.617947e+01,-2.859218e+01
1.380400e+07,-7.892623e+01,-7.572572e+01,-2.864101e+01
1.393600e+07,-8.018794e+01,-7.672033e+01,-2.861660e+01
1.406800e+07,-7.981852e+01,-7.676646e+01,-2.862148e+01
1.420000e+07,-8.014699e+01,-7.629890e+01,-2.862148e+01
1.433200e+07,-8.057222e+01,-7.632490e+01,-2.855312e+01
1.446400e+07,-7.909161e+01,-7.521319e+01,-2.865078e+01
1.459600e+07,-7.910875e+01,-7.555294e+01,-2.854335e+01
1.472800e+07,-7.950513e+01,-7.431127e+01,-2.864101e+01
1.486000e+07,-7.824758e+01,-7.694800e+01,-2.863613e+01
1.499200e+07,-7.964759e+01,-7.765735e+01,-2.862148e+01
1.512400e+07,-8.049870e+01,-7.435843e+01,-2.866054e+01
1.525600e+07,-7.821647e+01,-7.761874e+01,-2.862636e+01
1.538800e+07,-7.859366e+01,-7.571355e+01,-2.866542e+01
1.552000e+07,-8.011975e+01,-7.449099e+01,-2.868984e+01
1.565200e+07,-8.040153e+01,-7.474838e+01,-2.865566e+01
1.578400e+07,-7.985169e+01,-7.537949e+01,-2.862148e+01
1.591600e+07,-7.865878e+01,-7.396294e+01,-2.865566e+01
1.604800e+07,-7.980634e+01,-7.731929e+01,-2.873867e+01
1.618000e+07,-7.967623e+01,-7.472451e+01,-2.867031e+01
1.631200e+07,-7.948552e+01,-7.430580e+01,-2.875332e+01
1.644400e+07,-7.959663e+01,-7.546299e+01,-2.870449e+01
1.657600e+07,-8.046988e+01,-7.502324e+01,-2.872402e+01
1.670800e+07,-7.824121e+01,-7.436940e+01,-2.870449e+01
1.684000e+07,-7.726161e+01,-7.480209e+01,-2.866054e+01
1.697200e+07,-7.755564e+01,-7.663522e+01,-2.865566e+01
1.710400e+07,-7.825909e+01,-7.657527e+01,-2.873378e+01
1.723600e+07,-7.856698e+01,-7.559461e+01,-2.872890e+01
1.736800e+07,-8.002299e+01,-7.456441e+01,-2.879726e+01
1.750000e+07,-7.733850e+01,-7.736118e+01,-2.879238e+01
1.763200e+07,-7.560007e+01,-7.477614e+01,-2.880214e+01
1.776400e+07,-7.887865e+01,-7.584322e+01,-2.885097e+01
1.789600e+07,-7.863346e+01,-7.499794e+01,-2.877285e+01
1.802800e+07,-7.946749e+01,-7.461347e+01,-2.873867e+01
1.816000e+07,-7.832606e+01,-7.684222e+01,-2.877773e+01
1.829200e+07,-7.735479e+01,-7.436195e+01,-2.877285e+01
1.842400e+07,-7.795387e+01,-7.504096e+01,-2.881191e+01
1.855600e+07,-7.909095e+01,-7.513041e+01,-2.877285e+01
1.868800e+07,-7.759145e+01,-7.580991e+01,-2.889980e+01
1.882000e+07,-7.934041e+01,-7.458642e+01,-2.896816e+01
1.895200e+07,-7.750970e+01,-7.474968e+01,-2.891445e+01
1.908400e+07,-7.809483e+01,-7.593864e+01,-2.885097e+01
1.921600e+07,-7.837043e+01,-7.290068e+01,-2.880214e+01
1.934800e+07,-7.698645e+01,-7.677951e+01,-2.875820e+01
1.948000e+07,-7.783117e+01,-7.706978e+01,-2.879726e+01
1.961200e+07,-7.703391e+01,-7.494248e+01,-2.885097e+01
1.974400e+07,-7.733340e+01,-7.658482e+01,-2.889980e+01
1.987600e+07,-7.792816e+01,-7.569461e+01,-2.896328e+01
2.000800e+07,-7.676702e+01,-7.571841e+01,-2.890468e+01
2.014000e+07,-7.815857e+01,-7.428343e+01,-2.897304e+01
2.027200e+07,-7.750999e+01,-7.367918e+01,-2.897304e+01
2.040400e+07,-7.581436e+01,-7.685266e+01,-2.884121e+01
2.053600e+07,-7.906808e+01,-7.575432e+01,-2.886562e+01
2.066800e+07,-7.665206e+01,-7.696831e+01,-2.894863e+01
2.080000e+07,-7.735010e+01,-7.471889e+01,-2.891933e+01
2.093200e+07,-7.669355e+01,-7.590220e+01,-2.895351e+01
2.106400e+07,-7.714736e+01,-7.330384e+01,-2.903164e+01
2.119600e+07,-7.672054e+01,-7.634368e+01,-2.891933e+01
2.132800e+07,-7.829387e+01,-7.607894e+01,-2.901210e+01
2.146000e+07,-7.649660e+01,-7.576632e+01,-2.906582e+01
2.159200e+07,-7.729630e+01,-7.606616e+01,-2.903652e+01
2.172400e+07,-7.686581e+01,-7.630440e+01,-2.892910e+01
2.185600e+07,-7.631214e+01,-7.419725e+01,-2.894863e+01
2.198800e+07,-7.638837e+01,-7.394186e+01,-2.896816e+01
2.212000e+07,-7.613882e+01,-7.542172e+01,-2.903652e+01
2.225200e+07,-7.763824e+01,-7.522482e+01,-2.897304e+01
2.238400e+07,-7.640484e+01,-7.363467e+01,-2.901210e+01
2.251600e+07,-7.645802e+01,-7.369807e+01,-2.906582e+01
2.264800e+07,-7.701279e+01,-7.497272e+01,-2.907558e+01
2.278000e+07,-7.563143e+01,-7.460687e+01,-2.909023e+01
2.291200e+07,-7.705183e+01,-7.472158e+01,-2.906093e+01
2.304400e+07,-7.505798e+01,-7.642030e+01,-2.906582e+01
2.317600e+07,-7.614075e+01,-7.507593e+01,-2.907070e+01
2.330800e+07,-7.675552e+01,-7.519639e+01,-2.910488e+01
2.344000e+07,-7.479757e+01,-7.240607e+01,-2.907070e+01
2.357200e+07,-7.689031e+01,-7.569326e+01,-2.909023e+01
2.370400e+07,-7.586887e+01,-7.324120e+01,-2.909511e+01
2.383600e+07,-7.602053e+01,-7.655416e+01,-2.912929e+01
2.396800e+07,-7.604850e+01,-7.376499e+01,-2.921718e+01
2.410000e+07,-7.540045e+01,-7.560924e+01,-2.916347e+01
2.423200e+07,-7.706474e+01,-7.595471e+01,-2.915371e+01
2.436400e+07,-7.501256e+01,-7.533527e+01,-2.921230e+01
2.449600e+07,-7.516923e+01,-7.295442e+01,-2.919765e+01
2.462800e+07,-7.909019e+01,-7.559115e+01,-2.918300e+01
2.476000e+07,-7.516782e+01,-7.546699e+01,-2.924160e+01
2.489200e+07,-7.698337e+01,-7.409535e+01,-2.920742e+01
2.502400e+07,-7.741227e+01,-7.317047e+01,-2.922207e+01
2.515600e+07,-7.616235e+01,-7.361913e+01,-2.930019e+01
2.528800e+07,-7.524804e+01,-7.514677e+01,-2.926601e+01
2.542000e+07,-7.636771e+01,-7.456875e+01,-2.917324e+01
2.555200e+07,-7.551458e+01,-7.307562e+01,-2.927578e+01
2.568400e+07,-7.512530e+01,-7.496502e+01,-2.929531e+01
2.581600e+07,-7.710274e+01,-7.435972e+01,-2.920253e+01
2.594800e+07,-7.607739e+01,-7.371332e+01,-2.926113e+01
2.608000e+07,-7.560669e+01,-7.438529e+01,-2.937832e+01
2.621200e+07,-7.617333e+01,-7.448355e+01,-2.930996e+01
2.634400e+07,-7.574707e+01,-7.584629e+01,-2.938320e+01
2.647600e+07,-7.445019e+01,-7.418839e+01,-2.941738e+01
2.660800e+07,-7.488904e+01,-7.471765e+01,-2.935878e+01
2.674000e+07,-7.501824e+01,-7.354139e+01,-2.936367e+01
2.687200e+07,-7.497980e+01,-7.493755e+01,-2.937832e+01
2.700400e+07,-7.589035e+01,-7.231361e+01,-2.934902e+01
2.713600e+07,-7.556708e+01,-7.272477e+01,-2.924648e+01
2.726800e+07,-7.695142e+01,-7.311090e+01,-2.937343e+01
2.740000e+07,-7.690063e+01,-7.640977e+01,-2.940761e+01
2.753200e+07,-7.570091e+01,-7.351430e+01,-2.943203e+01
2.766400e+07,-7.584626e+01,-7.382722e+01,-2.941738e+01
2.779600e+07,-7.470552e+01,-7.603257e+01,-2.946132e+01
2.792800e+07,-7.444732e+01,-7.278007e+01,-2.940273e+01
2.806000e+07,-7.452571e+01,-7.554109e+01,-2.937343e+01
2.819200e+07,-7.697268e+01,-7.401661e+01,-2.940273e+01
2.832400e+07,-7.423426e+01,-7.387237e+01,-2.939785e+01
2.845600e+07,-7.548467e+01,-7.506277e+01,-2.948574e+01
2.858800e+07,-7.613290e+01,-7.209105e+01,-2.953457e+01
2.872000e+07,-7.456446e+01,-7.378139e+01,-2.955898e+01
2.885200e+07,-7.676518e+01,-7.324259e+01,-2.957363e+01
2.898400e+07,-7.656133e+01,-7.313399e+01,-2.960292e+01
2.911600e+07,-7.611389e+01,-7.450391e+01,-2.964687e+01
2.924800e+07,-7.672119e+01,-7.573531e+01,-2.963222e+01
2.938000e+07,-7.515256e+01,-7.306003e+01,-2.952480e+01
2.951200e+07,-7.532906e+01,-7.234730e+01,-2.961269e+01
2.964400e+07,-7.304200e+01,-7.374939e+01,-2.951503e+01
2.977600e+07,-7.404663e+01,-7.294516e+01,-2.962246e+01
2.990800e+07,-7.431797e+01,-7.493468e+01,-2.957851e+01
3.004000e+07,-7.573743e+01,-7.325682e+01,-2.966640e+01
3.017200e+07,-7.619364e+01,-7.256666e+01,-2.965175e+01
3.030400e+07,-7.391589e+01,-7.351007e+01,-2.969082e+01
3.043600e+07,-7.526357e+01,-7.483736e+01,-2.966640e+01
3.056800e+07,-7.716828e+01,-7.290871e+01,-2.963222e+01
3.070000e+07,-7.388338e+01,-7.470880e+01,-2.968105e+01
3.083200e+07,-7.700605e+01,-7.420503e+01,-2.973476e+01
3.096400e+07,-7.507084e+01,-7.307366e+01,-2.972988e+01
3.109600e+07,-7.485722e+01,-7.358090e+01,-2.964199e+01
3.122800e+07,-7.465339e+01,-7.488218e+01,-2.973476e+01
3.136000e+07,-7.583384e+01,-7.428120e+01,-2.974941e+01
3.149200e+07,-7.552274e+01,-7.308200e+01,-2.974941e+01
3.162400e+07,-7.484924e+01,-7.320060e+01,-2.975917e+01
3.175600e+07,-7.398364e+01,-7.305880e+01,-2.974453e+01
3.188800e+07,-7.609005e+01,-7.434900e+01,-2.992031e+01
3.202000e+07,-7.420582e+01,-7.484873e+01,-2.979824e+01
3.215200e+07,-7.496864e+01,-7.293108e+01,-2.992519e+01
3.228400e+07,-7.540072e+01,-7.257922e+01,-2.989101e+01
3.241600e+07,-7.496437e+01,-7.188292e+01,-2.981777e+01
3.254800e+07,-7.620848e+01,-7.262033e+01,-2.989589e+01
3.268000e+07,-7.481419e+01,-7.404372e+01,-2.994960e+01
3.281200e+07,-7.512151e+01,-7.349015e+01,-2.982265e+01
3.294400e+07,-7.550344e+01,-7.237978e+01,-2.993007e+01
3.307600e+07,-7.432655e+01,-7.302325e+01,-2.986171e+01
3.320800e+07,-7.605236e+01,-7.424546e+01,-2.997402e+01
3.334000e+07,-7.391999e+01,-7.476629e+01,-3.003750e+01
3.347200e+07,-7.544220e+01,-7.311125e+01,-2.994472e+01
3.360400e+07,-7.613868e+01,-7.397985e+01,-2.999843e+01
3.373600e+07,-7.376165e+01,-7.328641e+01,-3.010585e+01
3.386800e+07,-7.404778e+01,-7.594131e+01,-3.010585e+01
3.400000e+07,-7.426408e+01,-7.444669e+01,-2.998867e+01
3.413200e+07,-7.481414e+01,-7.179179e+01,-3.005214e+01
3.426400e+07,-7.379658e+01,-7.318333e+01,-3.005214e+01
3.439600e+07,-7.446843e+01,-7.279151e+01,-3.014492e+01
3.452800e+07,-7.421560e+01,-7.423035e+01,-3.009609e+01
3.466000e+07,-7.585725e+01,-7.242917e+01,-3.008144e+01
3.479200e+07,-7.354572e+01,-7.358993e+01,-3.020351e+01
3.492400e+07,-7.600895e+01,-7.488114e+01,-3.004726e+01
3.505600e+07,-7.483450e+01,-7.469974e+01,-3.014980e+01
3.518800e+07,-7.367212e+01,-7.276535e+01,-3.014980e+01
3.532000e+07,-7.306942e+01,-7.274172e+01,-3.020839e+01
3.545200e+07,-7.374606e+01,-7.355316e+01,-3.023281e+01
3.558400e+07,-7.427201e+01,-7.387302e+01,-3.004238e+01
3.571600e+07,-7.398752e+01,-7.288012e+01,-3.014003e+01
3.584800e+07,-7.539565e+01,-7.372191e+01,-3.021816e+01
3.598000e+07,-7.343553e+01,-7.342379e+01,-3.026210e+01
3.611200e+07,-7.425116e+01,-7.415405e+01,-3.023281e+01
3.624400e+07,-7.587857e+01,-7.264838e+01,-3.038417e+01
3.637600e+07,-7.489160e+01,-7.388624e+01,-3.031093e+01
3.650800e+07,-7.450986e+01,-7.414075e+01,-3.031582e+01
3.664000e+07,-7.347494e+01,-7.397083e+01,-3.034511e+01
3.677200e+07,-7.355546e+01,-7.354383e+01,-3.033535e+01
3.690400e+07,-7.575069e+01,-7.361653e+01,-3.035000e+01
3.703600e+07,-7.355658e+01,-7.288227e+01,-3.030117e+01
3.716800e+07,-7.326971e+01,-7.197048e+01,-3.046230e+01
3.730000e+07,-7.481331e+01,-7.257462e+01,-3.034023e+01
3.743200e+07,-7.409397e+01,-7.279817e+01,-3.050136e+01
3.756400e+07,-7.523192e+01,-7.255313e+01,-3.043789e+01
3.769600e+07,-7.226187e+01,-7.390134e+01,-3.051601e+01
3.782800e+07,-7.325781e+01,-7.473367e+01,-3.044765e+01
3.796000e+07,-7.544120e+01,-7.239602e+01,-3.051113e+01
3.809200e+07,-7.293148e+01,-7.322598e+01,-3.057949e+01
3.822400e+07,-7.306839e+01,-7.124523e+01,-3.047207e+01
3.835600e+07,-7.282305e+01,-7.240984e+01,-3.053066e+01
3.848800e+07,-7.262672e+01,-7.211190e+01,-3.052089e+01
3.862000e+07,-7.306399e+01,-7.296200e+01,-3.058437e+01
3.875200e+07,-7.454566e+01,-7.133862e+01,-3.067714e+01
3.888400e+07,-7.410413e+01,-7.443897e+01,-3.076015e+01
3.901600e+07,-7.507365e+01,-7.268376e+01,-3.066250e+01
3.914800e+07,-7.427235e+01,-7.215509e+01,-3.066738e+01
3.928000e+07,-7.411823e+01,-7.217778e+01,-3.068203e+01
3.941200e+07,-7.587667e+01,-7.225279e+01,-3.073574e+01
3.954400e+07,-7.419133e+01,-7.298803e+01,-3.060390e+01
3.967600e+07,-7.333064e+01,-7.219638e+01,-3.062832e+01
3.980800e+07,-7.411262e+01,-7.280538e+01,-3.078457e+01
3.994000e+07,-7.460180e+01,-7.308021e+01,-3.076015e+01
4.007200e+07,-7.320243e+01,-7.489920e+01,-3.078457e+01
4.020400e+07,-7.308104e+01,-7.367752e+01,-3.086757e+01
4.033600e+07,-7.420847e+01,-7.371954e+01,-3.084316e+01
4.046800e+07,-7.345562e+01,-7.232613e+01,-3.087246e+01
4.060000e+07,-7.443064e+01,-7.472270e+01,-3.083828e+01
4.073200e+07,-7.300046e+01,-7.324793e+01,-3.088222e+01
4.086400e+07,-7.305082e+01,-7.250984e+01,-3.087734e+01
4.099600e+07,-7.366630e+01,-7.111828e+01,-3.080410e+01
4.112800e+07,-7.334605e+01,-7.390939e+01,-3.097988e+01
4.126000e+07,-7.338593e+01,-7.268921e+01,-3.088710e+01
4.139200e+07,-7.371952e+01,-7.365873e+01,-3.102382e+01
4.152400e+07,-7.340179e+01,-7.258089e+01,-3.095546e+01
4.165600e+07,-7.244712e+01,-7.322892e+01,-3.102382e+01
4.178800e+07,-7.213138e+01,-7.158829e+01,-3.094082e+01
