# One Inch Photodetector
# AW 2020-11-28
# OPA818 op-amp
# RF 1k2 Ohm
# CF 0.7 pF
# FDS015 photodiode
#
# Trace A: SA floor
# Trace B: detector dark noise
# Trace C: TG on, detector dark (shows TG crosstalk)
# Trace D: modulated laser on detector
#
# Machine Module,SSA3021X
# Y Axis Scale,LOG
# Y Axis Unit,dBm
# Impedance,50
# Number of Points,751
# Sweep Time(s),0.216000,Auto
# Start Frequency,+0.000000000e+00
# Stop Frequency,+2.100000000e+09
# Offset Frequency,+0.000000000e+00
# Average Type,Log Pwr
# RBW,1000000.000000,Manual
# VBW,1000000.000000,Auto
# Sweep Type,Continuous
# Sweep Mode,Sweep
# Sweep Rule,Speed
# PreAmp State,ON
# Ref Level,-4.000000000e+01
# Attenuation,0,Manual
# Trigger Source,FreeRun
# Trigger Level,+0.000000000e+00
# External Trigger Edge,FALL
# Video Trigger Edge,FALL
# Marker Information
# Marker,Trace,Type,X Axis,Amplitude
# Marker1,D,Frequency,459.200000 MHz,-68.31 dBm
# Trace Math,0
# Trace Variable X,Trace A
# Trace Variable Y,Trace B
# Trace Variable Z,Trace C
# Trace Name,Trace A,Trace B,Trace C,Trace D
# Trace Type,View,View,View,View
# Trace Detector,Sample,Sample,Sample,Sample
# Trace Data
0.000000e+00,-6.521958e+01,-6.529937e+01,-6.538719e+01,-5.864277e+01
2.800000e+06,-7.976841e+01,-7.996627e+01,-7.965902e+01,-6.236032e+01
5.600000e+06,-1.066250e+02,-9.781392e+01,-9.706588e+01,-6.243226e+01
8.400000e+06,-1.064938e+02,-9.813337e+01,-9.622171e+01,-6.247933e+01
1.120000e+07,-1.060309e+02,-9.766857e+01,-9.667795e+01,-6.249268e+01
1.400000e+07,-1.066000e+02,-9.705569e+01,-9.622021e+01,-6.245613e+01
1.680000e+07,-1.059988e+02,-9.707718e+01,-9.647065e+01,-6.239034e+01
1.960000e+07,-1.058806e+02,-9.738220e+01,-9.634148e+01,-6.234288e+01
2.240000e+07,-1.069719e+02,-9.690203e+01,-9.584629e+01,-6.237895e+01
2.520000e+07,-1.062195e+02,-9.664538e+01,-9.503371e+01,-6.229190e+01
2.800000e+07,-1.062103e+02,-9.787536e+01,-9.471723e+01,-6.227137e+01
3.080000e+07,-1.064459e+02,-9.650514e+01,-9.423977e+01,-6.224237e+01
3.360000e+07,-1.064712e+02,-9.725110e+01,-9.377278e+01,-6.243409e+01
3.640000e+07,-1.063308e+02,-9.695846e+01,-9.486457e+01,-6.252110e+01
3.920000e+07,-1.060029e+02,-9.703903e+01,-9.594820e+01,-6.261679e+01
4.200000e+07,-1.060992e+02,-9.789900e+01,-9.666314e+01,-6.269466e+01
4.480000e+07,-1.056367e+02,-9.703161e+01,-9.476657e+01,-6.291660e+01
4.760000e+07,-1.050534e+02,-9.615367e+01,-9.588607e+01,-6.315423e+01
5.040000e+07,-1.054458e+02,-9.672546e+01,-9.625904e+01,-6.334829e+01
5.320000e+07,-1.047842e+02,-9.672785e+01,-9.540421e+01,-6.359010e+01
5.600000e+07,-1.058474e+02,-9.601932e+01,-9.601573e+01,-6.384102e+01
5.880000e+07,-1.052330e+02,-9.522984e+01,-9.553432e+01,-6.404414e+01
6.160000e+07,-1.048045e+02,-9.544089e+01,-9.535599e+01,-6.417243e+01
6.440000e+07,-1.056407e+02,-9.624215e+01,-9.381412e+01,-6.426422e+01
6.720000e+07,-1.047132e+02,-9.490247e+01,-9.497922e+01,-6.443750e+01
7.000000e+07,-1.056613e+02,-9.540217e+01,-9.423075e+01,-6.447858e+01
7.280000e+07,-1.052558e+02,-9.497936e+01,-9.254725e+01,-6.448322e+01
7.560000e+07,-1.058719e+02,-9.513329e+01,-9.413664e+01,-6.449788e+01
7.840000e+07,-1.053244e+02,-9.425675e+01,-9.350674e+01,-6.448048e+01
8.120000e+07,-1.047255e+02,-9.452321e+01,-9.347846e+01,-6.435794e+01
8.400000e+07,-1.049419e+02,-9.485270e+01,-9.239706e+01,-6.432347e+01
8.680000e+07,-1.045136e+02,-9.454857e+01,-9.120714e+01,-6.421808e+01
8.960000e+07,-1.054624e+02,-9.477175e+01,-9.277961e+01,-6.406650e+01
9.240000e+07,-1.058038e+02,-9.440548e+01,-9.249911e+01,-6.408644e+01
9.520000e+07,-1.063502e+02,-9.317602e+01,-9.112331e+01,-6.393923e+01
9.800000e+07,-1.056272e+02,-9.365371e+01,-9.172327e+01,-6.380890e+01
1.008000e+08,-1.057003e+02,-9.437539e+01,-9.163834e+01,-6.378732e+01
1.036000e+08,-1.065851e+02,-9.370698e+01,-8.881735e+01,-6.388905e+01
1.064000e+08,-1.059593e+02,-9.298809e+01,-8.898249e+01,-6.393927e+01
1.092000e+08,-1.060613e+02,-9.235170e+01,-8.894327e+01,-6.390514e+01
1.120000e+08,-1.052359e+02,-9.299212e+01,-8.935210e+01,-6.372902e+01
1.148000e+08,-1.062951e+02,-9.405508e+01,-8.892715e+01,-6.390988e+01
1.176000e+08,-1.061294e+02,-9.487856e+01,-8.882717e+01,-6.401816e+01
1.204000e+08,-1.054318e+02,-9.258644e+01,-9.011280e+01,-6.409858e+01
1.232000e+08,-1.058920e+02,-9.320126e+01,-8.990987e+01,-6.417452e+01
1.260000e+08,-1.047264e+02,-9.288273e+01,-9.174151e+01,-6.435463e+01
1.288000e+08,-1.055690e+02,-9.316265e+01,-9.092021e+01,-6.469622e+01
1.316000e+08,-1.081302e+02,-9.210908e+01,-9.121425e+01,-6.482539e+01
1.344000e+08,-1.054273e+02,-9.218611e+01,-9.071907e+01,-6.495357e+01
1.372000e+08,-1.063063e+02,-9.215015e+01,-9.135127e+01,-6.532429e+01
1.400000e+08,-1.064546e+02,-9.273100e+01,-9.217497e+01,-6.548743e+01
1.428000e+08,-1.058494e+02,-9.327206e+01,-9.232588e+01,-6.540772e+01
1.456000e+08,-1.057253e+02,-9.194085e+01,-9.210264e+01,-6.508611e+01
1.484000e+08,-1.065917e+02,-9.197559e+01,-9.065251e+01,-6.489117e+01
1.512000e+08,-1.066528e+02,-9.329740e+01,-9.055061e+01,-6.483276e+01
1.540000e+08,-1.074879e+02,-9.123640e+01,-9.025346e+01,-6.458892e+01
1.568000e+08,-1.063926e+02,-9.268993e+01,-9.046180e+01,-6.420544e+01
1.596000e+08,-1.060634e+02,-9.179461e+01,-9.068336e+01,-6.399590e+01
1.624000e+08,-1.059875e+02,-9.181518e+01,-9.098375e+01,-6.360536e+01
1.652000e+08,-1.075565e+02,-9.134607e+01,-8.937733e+01,-6.323875e+01
1.680000e+08,-1.070496e+02,-9.056173e+01,-8.820956e+01,-6.295638e+01
1.708000e+08,-1.056680e+02,-9.192439e+01,-8.877285e+01,-6.245789e+01
