# One Inch Photodetector
# AW 2021-09-02
# OPA818 op-amp
# RF 12k Ohm
# CF not installed
# FGA01FC InGaAs photodiode, 2pF @ 5V
#
# Trace A: SA floor 
# Trace B: detector dark noise
# Trace C: detector response
# Trace D: detector response, 10dB optical attenuation added
# 3 kHz RBW, frequency sweep 1MHz to 500MHz
#
# Machine Module,SSA3021X
# Y Axis Scale,LOG
# Y Axis Unit,dBm
# Impedance,50
# Number of Points,751
# Sweep Time(s),36.843309,Auto
# Start Frequency,+1.000000000e+06
# Stop Frequency,+5.000000000e+08
# Offset Frequency,+0.000000000e+00
# Average Type,Log Pwr
# RBW,3000.000000,Manual
# VBW,3000.000000,Auto
# Sweep Type,Continuous
# Sweep Mode,Auto
# Sweep Rule,Speed
# PreAmp State,ON
# Ref Level,-2.500000000e+01
# Attenuation,15,Manual
# Trigger Source,FreeRun
# Trigger Level,+0.000000000e+00
# External Trigger Edge,FALL
# Video Trigger Edge,FALL
# Marker Information
# Marker,Trace,Type,X Axis,Amplitude
# Marker1,C,Frequency,110.114667 MHz,-33.01 dBm
# Trace Math,0
# Trace Variable X,Trace A
# Trace Variable Y,Trace B
# Trace Variable Z,Trace C
# Trace Name,Trace A,Trace B,Trace C,Trace D
# Trace Type,View,View,View,View
# Trace Detector,Sample,Sample,Pos Peak,Pos Peak
# Trace Data
1.000000e+06,-1.148463e+02,-1.137353e+02,-3.028495e+01,-4.946952e+01
1.665333e+06,-1.148406e+02,-1.133646e+02,-3.029472e+01,-4.947929e+01
2.330667e+06,-1.136416e+02,-1.115637e+02,-3.031913e+01,-4.950858e+01
2.996000e+06,-1.157793e+02,-1.111437e+02,-3.030937e+01,-4.950370e+01
3.661333e+06,-1.158447e+02,-1.148824e+02,-3.034355e+01,-4.954276e+01
4.326667e+06,-1.143961e+02,-1.114066e+02,-3.031913e+01,-4.952812e+01
4.992000e+06,-1.161594e+02,-1.154656e+02,-3.035819e+01,-4.955741e+01
5.657333e+06,-1.133596e+02,-1.117719e+02,-3.033378e+01,-4.953788e+01
6.322667e+06,-1.190740e+02,-1.152879e+02,-3.038749e+01,-4.957206e+01
6.988000e+06,-1.164416e+02,-1.130174e+02,-3.036308e+01,-4.955741e+01
7.653333e+06,-1.154947e+02,-1.153939e+02,-3.034355e+01,-4.956718e+01
8.318667e+06,-1.178537e+02,-1.118545e+02,-3.033378e+01,-4.956230e+01
8.984000e+06,-1.185506e+02,-1.140455e+02,-3.029960e+01,-4.956230e+01
9.649333e+06,-1.153896e+02,-1.134744e+02,-3.032401e+01,-4.957694e+01
1.031467e+07,-1.183521e+02,-1.153943e+02,-3.028495e+01,-4.956230e+01
1.098000e+07,-1.147777e+02,-1.099359e+02,-3.030448e+01,-4.957206e+01
1.164533e+07,-1.141953e+02,-1.089084e+02,-3.027030e+01,-4.956230e+01
1.231067e+07,-1.167189e+02,-1.103295e+02,-3.028983e+01,-4.981132e+01
1.297600e+07,-1.159363e+02,-1.082326e+02,-3.025077e+01,-4.980155e+01
1.364133e+07,-1.154090e+02,-1.089920e+02,-3.028007e+01,-4.982597e+01
1.430667e+07,-1.134779e+02,-1.099898e+02,-3.023612e+01,-4.981132e+01
1.497200e+07,-1.155555e+02,-1.105139e+02,-3.027030e+01,-4.983573e+01
1.563733e+07,-1.138053e+02,-1.104310e+02,-3.022636e+01,-4.982108e+01
1.630267e+07,-1.168326e+02,-1.104336e+02,-3.024101e+01,-4.984062e+01
1.696800e+07,-1.164361e+02,-1.136695e+02,-3.021659e+01,-4.982108e+01
1.763333e+07,-1.186846e+02,-1.111387e+02,-3.021171e+01,-4.983085e+01
1.829867e+07,-1.161762e+02,-1.116351e+02,-3.019706e+01,-4.981132e+01
1.896400e+07,-1.117101e+02,-1.083506e+02,-3.020194e+01,-4.984062e+01
1.962933e+07,-1.167834e+02,-1.118787e+02,-3.018241e+01,-4.983085e+01
2.029467e+07,-1.146512e+02,-1.079529e+02,-3.018241e+01,-4.983085e+01
2.096000e+07,-1.177357e+02,-1.155975e+02,-3.020194e+01,-4.985038e+01
2.162533e+07,-1.152805e+02,-1.090935e+02,-3.016776e+01,-4.985038e+01
2.229067e+07,-1.125055e+02,-1.060320e+02,-3.019218e+01,-4.985038e+01
2.295600e+07,-1.158123e+02,-1.095574e+02,-3.016288e+01,-4.984062e+01
2.362133e+07,-1.161875e+02,-1.072400e+02,-3.018241e+01,-4.986015e+01
