# One Inch Photodetector
# AW 2021-04-16
# OPA818 op-amp
# RF 4k7 Ohm
# CF not installed
# FGA01FC InGaAs photodiode, 2pF @ 5V
#
# Trace A: modulated laser on detector
# Trace B: detector dark noise
# 3 kHz RBW
#
# Machine Module,SSA3021X
# Y Axis Scale,LOG
# Y Axis Unit,dBm
# Impedance,50
# Number of Points,751
# Sweep Time(s),449.224500,Auto
# Start Frequency,+0.000000000e+00
# Stop Frequency,+5.000000000e+08
# Offset Frequency,+0.000000000e+00
# Average Type,Log Pwr
# RBW,3000.000000,Manual
# VBW,3000.000000,Auto
# Sweep Type,Continuous
# Sweep Mode,Sweep
# Sweep Rule,Speed
# PreAmp State,ON
# Ref Level,-2.000000000e+01
# Attenuation,20,Auto
# Trigger Source,FreeRun
# Trigger Level,+0.000000000e+00
# External Trigger Edge,FALL
# Video Trigger Edge,FALL
# Marker Information
# Marker,Trace,Type,X Axis,Amplitude
# Marker1,A,Frequency,200.666667 MHz,-33.63 dBm
# Trace Math,0
# Trace Variable X,Trace A
# Trace Variable Y,Trace B
# Trace Variable Z,Trace C
# Trace Name,Trace A,Trace B
# Trace Type,View,View
# Trace Detector,Sample,Sample
# Trace Data
# 0.000000e+00,-6.237480e+01,-9.248303e+01
6.666670e+05,-6.627616e+01,-9.459973e+01
1.333333e+06,-4.903983e+01,-9.943290e+01
2.000000e+06,-4.204276e+01,-1.015122e+02
2.666667e+06,-3.848319e+01,-1.026027e+02
3.333333e+06,-3.627128e+01,-1.031170e+02
4.000000e+06,-3.478690e+01,-1.044532e+02
4.666667e+06,-3.369315e+01,-1.007553e+02
5.333333e+06,-3.302909e+01,-1.022267e+02
6.000000e+06,-3.236015e+01,-1.036045e+02
6.666667e+06,-3.196952e+01,-1.030446e+02
7.333333e+06,-3.154960e+01,-1.049366e+02
8.000000e+06,-3.132011e+01,-1.035906e+02
8.666667e+06,-3.109062e+01,-1.051214e+02
9.333333e+06,-3.092460e+01,-1.050742e+02
1.000000e+07,-3.080253e+01,-1.029510e+02
1.066667e+07,-3.073905e+01,-1.046974e+02
1.133333e+07,-3.059745e+01,-1.039560e+02
1.200000e+07,-3.051444e+01,-1.021404e+02
1.266667e+07,-3.037772e+01,-1.036443e+02
1.333333e+07,-3.040702e+01,-1.053199e+02
1.400000e+07,-3.043144e+01,-1.023048e+02
1.466667e+07,-3.033866e+01,-1.038217e+02
1.533333e+07,-3.032890e+01,-1.028663e+02
1.600000e+07,-3.014823e+01,-1.029331e+02
1.666667e+07,-3.002616e+01,-1.056503e+02
