# opa657 voltage noise
# x Hz
# y nV/sqrt(Hz)
 0.9770E+01 0.3776E-07        
 0.1988E+02 0.2712E-07        
 0.3969E+02 0.1929E-07        
 0.6056E+02 0.1612E-07        
 0.8078E+02 0.1426E-07        
 0.9978E+02 0.1285E-07        
 0.1992E+03 0.9674E-08        
 0.3979E+03 0.7638E-08        
 0.5957E+03 0.6754E-08        
 0.8103E+03 0.6262E-08        
 0.1001E+04 0.6087E-08        
 0.2001E+04 0.5538E-08        
 0.3998E+04 0.5232E-08        
 0.5988E+04 0.5038E-08        
 0.7992E+04 0.5038E-08        
 0.1007E+05 0.4944E-08        
 0.2012E+05 0.4851E-08        
 0.4023E+05 0.4805E-08        
 0.6026E+05 0.4805E-08        
 0.7889E+05 0.4805E-08        
 0.9938E+05 0.4805E-08        
 0.2025E+06 0.4715E-08        
 0.3971E+06 0.4760E-08        
 0.6064E+06 0.4760E-08        
 0.7939E+06 0.4760E-08        
 0.1020E+07 0.4760E-08        
 0.2038E+07 0.4760E-08        
 0.3997E+07 0.4805E-08        
 0.6103E+07 0.4805E-08        
 0.8146E+07 0.4805E-08        
 0.1007E+08 0.4805E-08        
 0.2038E+08 0.4760E-08        
 0.3997E+08 0.4805E-08        
 0.6103E+08 0.4805E-08        
 0.8146E+08 0.4805E-08
 0.1007E+09 0.4805E-08
